ticker,company_name,status,overall_label,overall_score,red_flag_count,share_price,price_to_earnings,ev_to_sales,fcf_yield,screen_rank,report_generated,report_path,scorecard_csv,scorecard_json,red_flags_csv,metric_snapshot_csv,charts_dir,report_dir,scorecard_dir,error
MSFT,Microsoft Corporation,success,"good business, too expensive",77.03999999999999,0,452.1,41.7627375,14.112150862068965,0.020353071922069286,1,True,outputs\watchlist_batch\stocks\msft\reports\msft_analysis_report.md,outputs\watchlist_batch\stocks\msft\scorecards\msft_scorecard.csv,outputs\watchlist_batch\stocks\msft\scorecards\msft_scorecard.json,outputs\watchlist_batch\stocks\msft\scorecards\msft_red_flags.csv,outputs\watchlist_batch\stocks\msft\scorecards\msft_metric_snapshot.csv,outputs\watchlist_batch\stocks\msft\charts,outputs\watchlist_batch\stocks\msft\reports,outputs\watchlist_batch\stocks\msft\scorecards,
TSLA,"Tesla, Inc.",success,"good business, too expensive",74.84,3,250.2,98.84444444444445,7.379428571428571,0.006869504396482814,2,False,,,,,,,,,
