ticker,status,overall_label,overall_score,price_to_earnings,ev_to_sales,fcf_yield,red_flag_count,report_path,scorecard_csv,error
MSFT,success,"good business, too expensive",75.44,28.59544451010808,10.4438290857482,0.024592269696867352,1,outputs\live_batch\stocks\msft\reports\msft_analysis_report.md,outputs\live_batch\stocks\msft\scorecards\msft_scorecard.csv,
TSLA,success,value trap / governance trap,50.6,388.47660255532804,15.523914392471706,0.004220152949333913,1,outputs\live_batch\stocks\tsla\reports\tsla_analysis_report.md,outputs\live_batch\stocks\tsla\scorecards\tsla_scorecard.csv,
