category,score,summary,weight,weighted_score
revenue,80.0,Strong multi-year growth receives the highest weight in the model.,0.16,12.8
profitability,100.0,Margins measure structural business quality and pricing power.,0.16,16.0
returns,88.0,Return ratios reward efficient use of capital and assets.,0.16,14.08
balance_sheet,100.0,Leverage and liquidity determine resilience through weaker cycles.,0.16,16.0
cashflow,93.0,Cash conversion and free cash flow anchor the quality check.,0.16,14.88
valuation,46.0,Valuation is intentionally harsh on expensive equities.,0.1,4.6000000000000005
red_flags,90.0,Triggered red flags reduce confidence in the headline metrics.,0.1,9.0
overall,87.36,high-quality compounder,1.0,87.36
