ticker,company_name,status,overall_label,overall_score,red_flag_count,share_price,price_to_earnings,ev_to_sales,fcf_yield,screen_rank,report_generated,report_path,scorecard_csv,scorecard_json,red_flags_csv,metric_snapshot_csv,charts_dir,report_dir,scorecard_dir,error
MSFT,Microsoft Corporation,success,"good business, too expensive",75.44,1,391.7900085449219,28.59544451010808,10.4438290857482,0.024592269696867352,1,True,outputs\live_watchlist\stocks\msft\reports\msft_analysis_report.md,outputs\live_watchlist\stocks\msft\scorecards\msft_scorecard.csv,outputs\live_watchlist\stocks\msft\scorecards\msft_scorecard.json,outputs\live_watchlist\stocks\msft\scorecards\msft_red_flags.csv,outputs\live_watchlist\stocks\msft\scorecards\msft_metric_snapshot.csv,outputs\live_watchlist\stocks\msft\charts,outputs\live_watchlist\stocks\msft\reports,outputs\live_watchlist\stocks\msft\scorecards,
TSLA,"Tesla, Inc.",success,value trap / governance trap,50.6,1,392.7799987792969,388.47660255532804,15.523914392471706,0.004220152949333913,2,True,outputs\live_watchlist\stocks\tsla\reports\tsla_analysis_report.md,outputs\live_watchlist\stocks\tsla\scorecards\tsla_scorecard.csv,outputs\live_watchlist\stocks\tsla\scorecards\tsla_scorecard.json,outputs\live_watchlist\stocks\tsla\scorecards\tsla_red_flags.csv,outputs\live_watchlist\stocks\tsla\scorecards\tsla_metric_snapshot.csv,outputs\live_watchlist\stocks\tsla\charts,outputs\live_watchlist\stocks\tsla\reports,outputs\live_watchlist\stocks\tsla\scorecards,
